Customer_ID,Customer_Name,Age,Gender,Account_Type,Balance,Loan_Amount,Loan_Status,Transaction_Count_Last_30_Days,Total_Transaction_Amount,Complaint_Text,Is_Fraud
bd42d1a0-cd94-4369-afb9-f1d503a8669e,Kelly Bass,55,Female,Current,659463.58,459141.13,Approved,17,9843.95,Finish painting item source including exist worker draw which watch.,1
e8205a09-45e9-4277-9c90-04a2d4cd14bd,Gregory Taylor,31,Male,Current,433589.32,458298.88,Rejected,61,10212.6,Take maybe store throw for effort add.,0
57aad141-203a-43c7-bb96-d57d99709cc3,Terry Ewing,57,Female,Salary,930511.56,201301.9,Approved,34,53541.42,Scientist field situation with kitchen heart energy she sign test.,0
cf0baa7e-053f-4daa-bb61-0d9ce166c517,John Martinez MD,48,Male,Current,732379.71,58117.53,Rejected,87,71601.21,Subject message even system write ago foreign home talk seat stuff.,1
3d916718-1176-4ea2-91fa-b7213d17006a,Rhonda Bennett,56,Female,Current,203786.14,127049.82,Approved,33,95389.94,Along store assume far word though difficult he fine yes job ever.,1
0e1de584-6b55-42f7-ba95-b260d101ef89,Nancy Long,61,Female,Savings,712786.14,340033.03,Approved,44,46488.6,Over hit cup national conference enjoy stage little share their would throw.,0
929a5456-5ca7-43ad-b1d9-9b1294e28749,Kristina Nelson,40,Female,Salary,256644.43,473881.47,Pending,34,63071.7,Certain wait believe foot keep child center particularly manager.,0
10795821-b543-4ba1-a7a8-66f8af14394d,Dustin Williams,36,Female,Business,325471.62,381891.76,Approved,23,57760.45,Interesting mention write even effect building style.,0
86497a88-1090-4e87-a871-532f4b0dfabb,Tammy Ware,29,Male,Current,430908.04,499118.2,Rejected,29,95864.67,Keep generation serve we vote to approach.,1
480162fa-f175-413f-ba16-0cecd4c57915,Carrie Oconnell,19,Female,Current,764273.37,277134.59,Pending,76,15771.53,Relationship tax popular third help need west physical lot.,0
d957e616-31e5-479f-a68b-2a77c4a4d7e2,Patricia Marquez,39,Male,Savings,656298.14,382765.8,Pending,97,89623.12,Need while her campaign know hospital often detail chair area.,1
a6dc9333-df35-457c-8373-dd1776cb43f5,Mr. Andrew Cardenas,46,Male,Business,711658.74,47756.97,Rejected,58,36874.31,Wait reach order technology some cultural keep respond theory in nearly speak see.,1
5506bd3d-f963-468e-b086-dbee9b1b7cdb,Patricia Frederick,56,Female,Business,863508.9,250588.31,Pending,99,66898.65,Computer start these dark appear morning.,1
98b9df0c-0da1-493a-a02a-3b6b88da19e0,Diana Ochoa,67,Female,Salary,605559.8,396165.94,Approved,22,35985.44,Nothing shake stock physical address population analysis success claim think.,0
6ff61a69-c1eb-470d-974e-d0ad364185d9,Justin Mcknight,44,Female,Savings,848973.22,124038.86,Rejected,4,69760.43,Prove owner message remain senior hold important its scientist describe sense.,1
4ef1a464-cef8-46e9-9db4-17fccbb10448,Laura Cunningham,43,Female,Business,145098.6,430553.44,Pending,61,56863.88,Decade increase group stuff listen energy.,1
f87394be-07e1-4a15-bab2-978a50ff5e4a,Susan Roberts,27,Male,Business,307055.62,442012.67,Pending,59,18263.58,Nearly training network shoulder friend partner product.,1
cfd51b3f-9d8b-41bc-99e8-d3ae44caa695,Carrie Melton,69,Male,Salary,9328.59,237307.65,Rejected,83,60109.53,Girl daughter time popular make third college situation.,1
bd0ab3a3-71e0-47b0-9d5a-f14160967df9,Brian Brown,21,Male,Salary,631481.61,325481.4,Approved,63,77607.98,After size rest hundred main science three finally word.,1
64876a13-4072-4132-9964-62ecd6ee4e12,Robert Clark,53,Male,Savings,724494.29,439318.76,Rejected,4,65881.54,Star exactly wife watch compare least always.,1
1ba6734e-7b95-4a9f-999e-3607784ea003,Michael Cruz,40,Female,Savings,90030.39,497857.0,Approved,64,25848.87,Government list fear moment join kind program travel floor deep your.,1
33dde6f7-3d4f-44b9-94d4-47f7c7554440,Dakota Graham,67,Female,Salary,835519.99,112344.96,Pending,61,43132.3,Themselves hour fall administration performance cup television human across.,0
bef3b8be-e140-419d-97a5-6b42fc832196,Susan Avila,70,Female,Savings,476214.1,48695.2,Rejected,81,33784.91,Employee science plant skill on too physical exist.,1
8fad840c-c165-488a-a312-84dad8780612,Charles Mccormick,68,Male,Business,318027.23,230941.84,Rejected,68,89310.93,Reach company voice truth few stuff local campaign figure my time continue hotel.,1
